County Name,population
Appling County,18386
Atkinson County,8165
Bacon County,11164
Baker County,3038
Baldwin County,44890
Banks County,19234
Barrow County,83240
Bartow County,107738
Ben Hill County,16700
Berrien County,19397
Bibb County,153159
Bleckley County,12873
Brantley County,19109
Brooks County,15457
Bryan County,39627
Bulloch County,79608
Burke County,22383
Butts County,24936
Calhoun County,6189
Camden County,54666
Candler County,10803
Carroll County,119992
Catoosa County,67580
Charlton County,13392
Chatham County,289430
Chattahoochee County,10907
Chattooga County,24789
Cherokee County,258773
Clarke County,128331
Clay County,2834
Clayton County,292256
Clinch County,6618
Cobb County,760141
Coffee County,43273
Colquitt County,45600
Columbia County,156714
Cook County,17270
Coweta County,148509
Crawford County,12404
Crisp County,22372
Dade County,16116
Dawson County,26108
Decatur County,26404
DeKalb County,759297
Dodge County,20605
Dooly County,13390
Dougherty County,87956
Douglas County,146343
Early County,10190
Echols County,4006
Effingham County,64296
Elbert County,19194
Emanuel County,22646
Evans County,10654
Fannin County,26188
Fayette County,114421
Floyd County,98498
Forsyth County,244252
Franklin County,23349
Fulton County,1063937
Gilmer County,31369
Glascock County,2971
Glynn County,85292
Gordon County,57963
Grady County,24633
Greene County,18324
Gwinnett County,936250
Habersham County,45328
Hall County,204441
Hancock County,8457
Haralson County,29792
Harris County,35236
Hart County,26205
Heard County,11923
Henry County,234561
Houston County,157863
Irwin County,9416
Jackson County,72977
Jasper County,14219
Jeff Davis County,15115
Jefferson County,15362
Jenkins County,8676
Johnson County,9643
Jones County,28735
Lamar County,19077
Lanier County,10423
Laurens County,47546
Lee County,29992
Liberty County,61435
Lincoln County,7921
Long County,19559
Lowndes County,117406
Lumpkin County,33610
McDuffie County,21312
McIntosh County,14378
Macon County,12947
Madison County,29880
Marion County,8359
Meriwether County,21167
Miller County,5718
Mitchell County,21863
Monroe County,27578
Montgomery County,9172
Morgan County,19276
Murray County,40096
Muscogee County,195769
Newton County,111744
Oconee County,40280
Oglethorpe County,15259
Paulding County,168667
Peach County,27546
Pickens County,32591
Pierce County,19465
Pike County,18962
Polk County,42613
Pulaski County,11137
Putnam County,22119
Quitman County,2299
Rabun County,17137
Randolph County,6778
Richmond County,202518
Rockdale County,90896
Schley County,5257
Screven County,13966
Seminole County,8090
Spalding County,66703
Stephens County,25925
Stewart County,6621
Sumter County,29524
Talbot County,6195
Taliaferro County,1537
Tattnall County,25286
Taylor County,8020
Telfair County,15860
Terrell County,8531
Thomas County,44451
Tift County,40644
Toombs County,26830
Towns County,12037
Treutlen County,6901
Troup County,69922
Turner County,7985
Twiggs County,8120
Union County,24511
Upson County,26320
Walker County,69761
Walton County,94593
Ware County,35734
Warren County,5254
Washington County,20374
Wayne County,29927
Webster County,2607
Wheeler County,7855
White County,30798
Whitfield County,104628
Wilcox County,8635
Wilkes County,9777
Wilkinson County,8954
Worth County,20247
